FICE,Institution,Discipline,Total SCH,Percentage of SCH
3656,UTA,Liberal Arts,253480,0.263267769
3656,UTA,Science,141547,0.147012636
3656,UTA,Fine Arts,37520,0.038968781
3656,UTA,Teacher Education,30983,0.032179364
3656,UTA,Agriculture,0,0
3656,UTA,Engineering,118016,0.12257302
3656,UTA,Home Economics,3270,0.003396266
3656,UTA,Law,0,0
3656,UTA,Social Service,51789,0.053788758
3656,UTA,Library Science,66,6.85E-05
3656,UTA,Veterinary Science,0,0
3656,UTA,Vocational Training,0,0
3656,UTA,Physical Training,0,0
3656,UTA,Health Services,25884,0.026883474
3656,UTA,Pharmacy,0,0
3656,UTA,Business Administration,87251,0.090620073
3656,UTA,Optometry,0,0
3656,UTA,Teacher Ed-Practice Teaching,132,0.000137097
3656,UTA,Technology,8142,0.008456392
3656,UTA,Nursing,204742,0.212647821
3658,UT,Liberal Arts,552192,0.413685533
3658,UT,Science,217376,0.16285152
3658,UT,Fine Arts,59223,0.044368079
3658,UT,Teacher Education,25371,0.019007185
3658,UT,Agriculture,0,0
3658,UT,Engineering,185571,0.139024176
3658,UT,Home Economics,30602,0.022926092
3658,UT,Law,27542,0.020633633
3658,UT,Social Service,14548,0.010898921
3658,UT,Library Science,3559,0.002666295
3658,UT,Veterinary Science,0,0
3658,UT,Vocational Training,0,0
3658,UT,Physical Training,0,0
3658,UT,Health Services,38224,0.028636264
3658,UT,Pharmacy,20863,0.015629928
3658,UT,Business Administration,142484,0.1067447
3658,UT,Optometry,0,0
3658,UT,Teacher Ed-Practice Teaching,0,0
3658,UT,Technology,870,0.000651778
3658,UT,Nursing,16386,0.012275895
9741,UTD,Liberal Arts,169457,0.248383995
9741,UTD,Science,142091,0.208271893
9741,UTD,Fine Arts,39306,0.057613326
9741,UTD,Teacher Education,2528,0.003705452
9741,UTD,Agriculture,0,0
9741,UTD,Engineering,157523,0.230891566
9741,UTD,Home Economics,0,0
9741,UTD,Law,0,0
9741,UTD,Social Service,0,0
9741,UTD,Library Science,113,0.000165631
9741,UTD,Veterinary Science,0,0
9741,UTD,Vocational Training,0,0
9741,UTD,Physical Training,0,0
9741,UTD,Health Services,23252,0.034081948
9741,UTD,Pharmacy,0,0
9741,UTD,Business Administration,146580,0.214851709
9741,UTD,Optometry,0,0
9741,UTD,Teacher Ed-Practice Teaching,335,0.000491031
9741,UTD,Technology,1053,0.00154345
9741,UTD,Nursing,0,0
3661,UTEP,Liberal Arts,231952,0.411489314
3661,UTEP,Science,93294,0.165506157
3661,UTEP,Fine Arts,30850,0.05472876
3661,UTEP,Teacher Education,20152,0.03575021
3661,UTEP,Agriculture,0,0
3661,UTEP,Engineering,60232,0.106853247
3661,UTEP,Home Economics,0,0
3661,UTEP,Law,0,0
3661,UTEP,Social Service,3893,0.006906291
3661,UTEP,Library Science,0,0
3661,UTEP,Veterinary Science,0,0
3661,UTEP,Vocational Training,0,0
3661,UTEP,Physical Training,0,0
3661,UTEP,Health Services,28367,0.050323849
3661,UTEP,Pharmacy,8670,0.015380822
3661,UTEP,Business Administration,54407,0.096519535
3661,UTEP,Optometry,0,0
3661,UTEP,Teacher Ed-Practice Teaching,936,0.00166049
3661,UTEP,Technology,1545,0.002740873
3661,UTEP,Nursing,29391,0.052140453
3599,UTRGV,Liberal Arts,355308,0.434191473
3599,UTRGV,Science,139185,0.170086066
3599,UTRGV,Fine Arts,45038,0.055037082
3599,UTRGV,Teacher Education,54478,0.066572897
3599,UTRGV,Agriculture,639,0.000780867
3599,UTRGV,Engineering,50749,0.062016006
